Film;Villain;Portrayed by;Objective;Outcome;Status;image_url
Spectre;Mr. Hinx;David Bautista;Mr. Hinx is a henchman working for the villainous organization SPECTRE, tasked with capturing Madeleine Swann, a woman with a connection to Bond's past.;Hinx's plan is foiled when Bond kills him in a car chase, saving Madeleine.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/d/d8/Mr_Hinx_-_Profile_%282%29.png
Spectre;Mr. White;Jesper Christensen;Mr. White is trying to protect the truth about SPECTRE's existence and its connection to Bond's past.;Although he fails to stop Bond from uncovering SPECTRE's plans, he manages to escape and remains at large.;Escapes;https://static.wikia.nocookie.net/jamesbond/images/e/ec/Mr._White_-_Profile.png
Spectre;Marco Sciarra;Alessandro Cremona;To take revenge on the world for the death of his father, a former SPECTRE member, and to kill Bond.;Bond kills him in a shootout at the Vatican.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/d/db/Marco_Sciarra_-_Profile.png
Spectre;Max Denbigh / C;Andrew Scott;"Gain control of a global surveillance program called ""Nine Eyes"".";Bond destroys Blofeld's data center and Q prevents the Nine Eyes program from being activated.;Engages in a fight with M and falls to his death.;https://static.wikia.nocookie.net/jamesbond/images/1/16/Max_Denbigh_-_Profile.png
The Living Daylights;General Georgi Koskov;Jeroen Krabbé;Fake a defection and trick MI6 into killing his rival, General Leonid Pushkin, to cover-up his weapon smuggling racket, which Pushkin was investigating.;Bond and Pushkin fake the latter's assassination and Bond destroys the shipment of opium that Koskov was going to use to buy weapons from Whitaker.;"Arrested by Pushkin; implied to be executed by the Soviet government, off-screen.";https://static.wikia.nocookie.net/jamesbond/images/6/6f/General_Koskov_-_Profile.png
The Living Daylights;Necros;Andreas Wisniewski;Necros' objective is to steal a Fabergé egg, which is a valuable and highly sought-after item, and sell it to a wealthy collector.;Bond foils Necros' plan by preventing him from selling the egg, and Necros is ultimately killed by Bond.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/3/30/Necros_%28Andreas_Wisniewski%29_-_Profile.jpg
The Living Daylights;Kamran Shah;Art Malik;Kamran Shah's objective is to sell a large shipment of Semtex to the mujahideen in Afghanistan, which would then be used to destabilize the Soviet Union.;Bond foils Shah's plan by intercepting the Semtex shipment, and Shah is subsequently killed by a Soviet sniper.;Killed by a Soviet sniper;https://static.wikia.nocookie.net/jamesbond/images/c/ce/Kamran_Shah_%28Art_Malik%29_-_Profile.jpg
The Living Daylights;Brad Whitaker;Joe Don Baker;Engage in a triangle deal with Koskov and the Mujahadeen, where Whitaker will get valuable opium in exchange for high-tech weapons.;Bond destroys the shipment of opium, ruining the deal.;Bond activates a bomb disguised as a key chain, dropping a bust of the Duke of Wellington on Whitaker, crushing him.;https://static.wikia.nocookie.net/jamesbond/images/0/0f/Brad_Whitaker_%28Joe_Don_Baker%29_-_Profile.png
The Man with the Golden Gun;Chula;Chan Yiu Lam;Chula is tasked with killing Bond, who has been identified as a threat to Scaramanga's reputation and business.;Chula fails to kill Bond and is ultimately killed by Scaramanga's henchmen for his failure.;Killed by Scaramanga's henchmen;https://static.wikia.nocookie.net/jamesbond/images/e/e1/Screenshot_2015-05-23_17.52.11.png
The Man with the Golden Gun;Nick Nack;Hervé Villechaize;Nick Nack assists Scaramanga in killing Bond and obtaining the Golden Gun, a powerful laser pistol.;Nick Nack's plan is foiled when Bond escapes and ultimately kills Scaramanga, rendering Nick Nack's assistance unnecessary.;Survives, but is left to fend for himself after Scaramanga's death.;https://static.wikia.nocookie.net/jamesbond/images/4/42/Nick_Nack_%28Herv%C3%A9_Villechaize%29_-_Profile.jpg
The Man with the Golden Gun;Francisco Scaramanga;Christopher Lee;Kill James Bond and sell the Solex Agitator, a device that can harness solar energy for destructive purposes.;Bond retrieves the Agitator for MI6 and defeats Scaramanga in mortal combat.;Shot in the chest by Bond during their duel.;https://static.wikia.nocookie.net/jamesbond/images/b/b9/Francisco_Scaramanga_%28Christopher_Lee%29_-_Profile.png
The Spy Who Loved Me;Karl Stromberg;Curd Jürgens;Capture a British submarine and a Soviet submarine and use them to trick Britain and the USSR into starting a nuclear war. Once the world's population has been decimated, repopulate the Earth with a new society under his control formed in secret bases under the ocean.;Bond redirects the British and Soviet nuclear missiles' coordinates so that the missile fired by each sub hits the other, destroying them.;Shot repeatedly by Bond using his own dinner table booby trap.;https://static.wikia.nocookie.net/jamesbond/images/5/58/Karl-stromberg-portrait.png
The Spy Who Loved Me;General Gogol;Walter Gotell;General Gogol's objective is to acquire a nuclear submarine, the Red October, to further Soviet interests.;Bond foils Gogol's plan by stopping the Red October, but Gogol survives.;Survives;https://static.wikia.nocookie.net/jamesbond/images/a/a8/General_Gogol_%28Walter_Gotell%29_-_Profile.jpg
The Spy Who Loved Me;Sandor;Milton Reid;Sandor is a henchman working for Karl Stromberg, tasked with capturing a Soviet submarine, the Red October, to further Stromberg's plan for world domination.;Bond foils Sandor's plan by preventing the capture of the Red October, and Sandor is subsequently defeated.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/6/64/Sandor_%28Milton_Reid%29_-_Profile.jpg
The Spy Who Loved Me;Jaws;Richard Kiel;Jaws is a henchman working for Karl Stromberg, tasked with sinking the British and American submarines to start a war.;Jaws' plan is foiled when Bond and Anya Amasova work together to stop him, and he is ultimately killed by a giant metal claw.;Killed by a giant metal claw;https://static.wikia.nocookie.net/jamesbond/images/0/06/Jaws_%28Richard_Kiel%29_-_Profile.png
The World Is Not Enough;Elektra King;Sophie Marceau;Gain a monopoly on crude oil in Europe by setting off a nuclear explosion in Istanbul, rendering the Bosporus Strait impassable to tankers carrying oil from competing pipelines. Also murder M in retaliation for ordering her father Sir Robert King to not pay the ransom after her kidnapping.;Bond kills her and then stops the detonation of the submarine.;Shot in the chest by Bond after she refused to order Renard to surrender.;https://static.wikia.nocookie.net/jamesbond/images/d/d9/Elektra_King_%28Sophie_Marceau%29_-_Profile.jpg
The World Is Not Enough;Charles Robinson;Colin Salmon;Charles Robinson, a former MI6 agent, seeks revenge against Elektra King, the daughter of a wealthy oil tycoon, for his own betrayal and subsequent imprisonment.;Bond foils Robinson's plan by stopping his attempt to kill Elektra, and Robinson is killed by Elektra's henchmen.;Killed by Elektra's henchmen;https://static.wikia.nocookie.net/jamesbond/images/4/4c/Charles_Robinson_-_Profile.png
The World Is Not Enough;Victor 'Renard' Zokas;Robert Carlyle;Detonate a nuclear submarine in the waters of Istanbul to serve Elektra's plan.;Bond kills him before he can overload the submarine's reactor.;Impaled by a plutonium rod, shot out of the sub's reactor core at high speed, by Bond.;https://static.wikia.nocookie.net/jamesbond/images/c/c2/Profile_-_Renard.png
Thunderball;Ernst Stavro Blofeld;Anthony Dawson (body), Eric Pohlmann (voice);Steal two atomic bombs and use them to extort money from various world governments.;The bombs are recovered and safely destroyed by Bond and the U.S. Coast Guard.;Survives (no contact between him and Bond).;https://static.wikia.nocookie.net/jamesbond/images/8/87/Blofeld_%28Dawson-Pohlmann%29_-_Profile.jpg
Thunderball;Emilio Largo;Adolfo Celi;Steal two atomic bombs and use them to extort money from various world governments.;The bombs are recovered and safely destroyed by Bond and the U.S. Coast Guard.;Shot in the back with a harpoon by his mistress, Domino Derval.;https://static.wikia.nocookie.net/jamesbond/images/7/78/Emilio_Largo_%28Adolfo_Celi%29_-_Profile.jpg
Thunderball;Quist;Bill Cummings;Quist's objective is not explicitly stated in the film, but he is part of SPECTRE's operation to steal nuclear warheads.;Quist's plan is foiled by Bond, but the details of his involvement are unclear.;No clear fate is stated for Quist in the film.;https://static.wikia.nocookie.net/jamesbond/images/e/e4/Quist_-_Profile.png
Tomorrow Never Dies;Jeff Hobbs;Hugo Napier;Jeff Hobbs' objective is to start a war between the UK and China by manipulating the media and the British government.;Hobbs' plan is foiled by Bond, who exposes the truth and stops the war from occurring.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/4/4d/Jeff_Hobbs_-_Profile.png
Tomorrow Never Dies;Charles Robinson;Colin Salmon;Charles Robinson, a media mogul, aims to start a war between the UK and China by manipulating the media and creating a false crisis.;Bond and his allies are able to expose Robinson's plan and prevent the war, but not before he is killed in a helicopter crash.;Killed in a helicopter crash;https://static.wikia.nocookie.net/jamesbond/images/4/4c/Charles_Robinson_-_Profile.png
Tomorrow Never Dies;Elliot Carver;Jonathan Pryce;Cause a war between the UK and China by firing a cruise missile from a sunken British warship towards Beijing, both so he can arrange a broadcasting deal with a new Chinese government and so that his media empire will have more news to cover.;Bond destroys Carver's stealth boat in a massive explosion, destroying the missile before it can launch.;Bond incapacitates Carver and leaves him in the path of his own Sea-Vac drill, which shreds him to pieces.;https://static.wikia.nocookie.net/jamesbond/images/4/45/Elliot_Carver_%28Jonathan_Pryce%29_-_Profile.jpg
Tomorrow Never Dies;Stamper;Götz Otto;Stamper's objective is to sell classified information about the British Navy to the highest bidder, using a satellite system.;Bond foils Stamper's plan by destroying the satellite and stopping the sale of classified information.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/5/51/Stamper_-_Profile.png
You Only Live Twice;Hans;Ronald Rich;Hans is a Japanese agent working for the villainous organization SPECTRE, tasked with stealing American and Soviet space rockets to create a massive space-based nuclear missile.;Bond foils Hans' plan by discovering and stopping the theft of the space rockets, and Hans is subsequently killed by the Japanese authorities.;Killed by the Japanese authorities;https://static.wikia.nocookie.net/jamesbond/images/0/04/Hans_%28Ronald_Rich%29_-_Profile.png
You Only Live Twice;Ernst Stavro Blofeld;Donald Pleasence;Trigger a war between the United States and Soviet Union, on the behalf of China, by capturing their space capsules midflight.;Bond uses a self-destruct button in Blofeld's lair to destroy the Bird One spacecraft.;Survives, although wounded.;https://static.wikia.nocookie.net/jamesbond/images/e/ec/Blofeld_%28You_Only_Live_Twice%29_-_Profile.png
You Only Live Twice;Helga Brandt;Karin Dor;Helga Brandt seeks revenge against James Bond and the British government for the death of her lover, Ernst Stavro Blofeld's, henchman, and attempts to lure Bond into a trap.;Bond discovers her plan and ultimately kills her in a fight.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/5/50/Helga_Brandt_-_Profile.png
You Only Live Twice;Ling;Tsai Chin;Ling is a Japanese double agent working for SPECTRE, her objective is to lure Bond to Japan and have him killed, thereby preventing him from interfering with SPECTRE's plans.;Bond discovers Ling's true intentions and foils her plan, ultimately leading to her death.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/6/69/Ling_-_Profile.jpg
